NAME,ID,ALGORITHM,STATUS,ERROR_MODULES,ERROR_HANDLING,TRIAL_NUMBER,DATE,TIME,COMMENT
s0_4126,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_916,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2594,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_835,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4122,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1517,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3148,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1518,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_49,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_917,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4366,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_849,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2592,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4138,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4368,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4541,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2699,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_46,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2599,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2818,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4116,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4135,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3278,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3276,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1847,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2319,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_846,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1148,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_920,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4078,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3336,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1523,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3416,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2589,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_776,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4926,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_896,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4369,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1002,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4146,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4144,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2826,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4141,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4131,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_831,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4338,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4137,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4128,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3093,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1151,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4127,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1527,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3277,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_999,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2761,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_780,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_119,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_778,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2568,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_915,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_897,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_921,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4633,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1237,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4051,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3149,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3338,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4147,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_908,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2595,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1150,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2552,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2828,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2528,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2819,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4118,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_861,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1849,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2698,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_899,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2759,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2569,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4540,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4076,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_47,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1379,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_898,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3511,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1149,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_994,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_937,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1898,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3091,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4112,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2700,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4928,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4634,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_844,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4142,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_909,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4367,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_809,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4134,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4543,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3321,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4121,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1152,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2024,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_995,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2551,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4125,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_814,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4371,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3339,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2758,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4544,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1563,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4111,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2829,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_48,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2570,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2820,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3092,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4143,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2789,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4115,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4136,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4052,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1378,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1238,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_796,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_993,0,ORCA,TO SUBMIT,OPT,{},1,,,
