,ID,SMILES
55,55,FC(C(C=C1)=CC=C1C(C2=CC3=CC=CC=C3NB2OB4N5)=C(C6=CC=C(OC)C=C6)C4=CC7=C5C=CC=C7)(F)F
56,56,C12=CC=CC=C1N(C3=CC=CC=C3)B4C(C(C5=CC=CC=C5)=C(C6=CC=CC=C6)C(B(N7C8=CC=CC=C8)O4)=CC9=C7C=CC=C9)=C2
57,57,C12=CC=CC=C1N(CC3=CC=CC=C3)B4C(C(C5=CC=CC=C5)=C(C6=CC=CC=C6)C(B(N7CC8=CC=CC=C8)O4)=CC9=C7C=CC=C9)=C2
58,58,CCCCN1B2OB3C(C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C2=CC6=C1C=CC=C6)=CC7=CC=CC=C7N3CCCC
59,59,FC1=CC=C(C=C(C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C(B(N4CC5=CC=CC=C5)O6)=CC7=C4C=C(F)C=C7)B6N8CC9=CC=CC=C9)C8=C1
60,60,CC1=CC=C(C=C(C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C(B(N4CC5=CC=CC=C5)O6)=CC7=C4C=C(C)C=C7)B6N8CC9=CC=CC=C9)C8=C1
61,61,BrC1=CC=C2C(C=C(C(C3=CC=CC=C3)=C(C4=CC=CC=C4)C(B(N5)O6)=CC7=C5C=CC(Br)=C7)B6N2)=C1
62,62,BrC1=CC=C2C(C=C(C(C3=CC=CC=C3)=C(C4=CC=CC=C4)C(B(N5)O6)=CC7=C5C=CC(C8=CC=C(OC)C=C8)=C7)B6N2)=C1
63,63,COC(C=C1)=CC=C1C2=CC(C=C3C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=CC7=CC(C8=CC=C(OC)C=C8)=CC=C7NB6OB3N9)=C9C=C2
64,64,C12=C(C3=CC=CC=C3)C=C(C=C(C=C(C4=CC=CC=C4)C5=C6C(N7)=CC=C5)C6=C8B7N9)C8=C1C9=CC=C2
65,65,CCCCCCN1B2C3=C4C(C=C(C5=CC=CC=C5)C6=C4C(N2CCCCCC)=CC=C6)=CC7=CC(C8=CC=CC=C8)=C9C(C1=CC=C9)=C73
66,66,CCCCCCCCCCCCN1B2C3=C4C(C=C(C5=CC=CC=C5)C6=C4C(N2CCCCCCCCCCCC)=CC=C6)=CC7=CC(C8=CC=CC=C8)=C9C(C1=CC=C9)=C73
67,67,C12=CC=CC(C3=CC=CC=C3N4C5=C6C=CC=C5)=C1B4N6C7=CC=CC=C72
68,68,C12=CC=CC(C3=CC=CC=C3N4C(C=CC=C5)=C5C6=C7C=CC=C6)=C1B4N7C8=CC=CC=C82
69,69,C12=CC=CC=C1NB3C(C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=C3C=CC=C6)=C2
70,70,CC(O1)(C)C(C)(C)OB1C2=CC3=C(C=C2)C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=CC7=CC=CC=C7NB63
71,71,C12=CC=CC=C1NB3C(C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=C3C=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=C2
72,72,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=C(N4)C(C=C5B4C6=C(C=CC(N(C7=CC=CC=C7)C8=CC=CC=C8)=C6)C(C9=CC=CC=C9)=C5C%10=CC=CC=C%10)=C1
73,73,CC([Si](C#CC1=CC2=C(C=C1)C(C3=CC=CC=C3)=C(C4=CC=CC=C4)C5=CC6=CC(C#C[Si](C(C)C)(C(C)C)C(C)C)=CC=C6NB52)(C(C)C)C(C)C)C
74,74,C1(C2=C(C=C3)C(C(C3=CC=C4)=C4C=C5)=C5C=C2)=CC=C(N6)C(C=C7B6C8=C(C=CC(C9=C%10C(C(C%11=CC=C%12)=C%12C=C%10)=C(C=C%11)C=C9)=C8)C(C%13=CC=CC=C%13)=C7C%14=CC=CC=C%14)=C1
75,75,C12=CC=CC=C1NB3C(C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=C3C=C(C7=CC(B8NC9=CC=CC=C9C=C%108)=C(C(C%11=CC=CC=C%11)=C%10C%12=CC=CC=C%12)C=C7)C=C6)=C2
76,76,C1(C2=CC3=C(C=C2)C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=CC7=CC=CC=C7NB63)=CC=C(N8)C(C=C9B8C%10=C(C=CC(C%11=CC(B%12NC%13=CC=CC=C%13C=C%14%12)=C(C(C%15=CC=CC=C%15)=C%14C%16=CC=CC=C%16)C=C%11)=C%10)C(C%17=CC=CC=C%17)=C9C%18=CC=CC=C%18)=C1
77,77,C12=CC=CC=C1C=CC3=C2C=CB4C=CC=CN34
78,78,BrC(B1C=C2)=CC=CN1C3=C2C4=CC=CC=C4C=C3
79,79,C12=CC=CC=C1C=CC3=C2C=CB4C(C5=CC=CC=C5)=CC=CN34
80,80,C12=CC=CC=C1C=CC3=C2C=CB4C(C#CC5=CC=CC=C5)=CC=CN34
81,81,C12=CC=CC=C1C=CC3=C2C=CB4C(N5CCOCC5)=CC=CN34
82,82,C12=C3C(N(B(C4=CC=CC=C4)C=C5)CCN3B(C6=CC=CC=C6)C=C2)=C5C=C1
83,83,C12=C3C(N(B(C4=CC=CC=C4)C(C5=CC=CC=C5)=C6)CCN3B(C7=CC=CC=C7)C=C2)=C6C=C1
84,84,C12=C3C(N(B(C4=CC=CC=C4)C(C5=CC=CC=C5)=C6)CCN3B(C7=CC=CC=C7)C(C8=CC=CC=C8)=C2)=C6C=C1
85,85,C12=C3C(N(B(C4=CC=CC=C4)C(/C=C/C5=CC=CC=C5)=C6)CCN3B(C7=CC=CC=C7)C=C2)=C6C=C1
86,86,C12=C3C(N(B(C4=CC=CC=C4)C(/C=C/C5=CC=CC=C5)=C6)CCN3B(C7=CC=CC=C7)C(/C=C/C8=CC=CC=C8)=C2)=C6C=C1
87,87,CC([Si](C#CC1=C(C=CC=C2)C2=C(C#C[Si](C(C)C)(C(C)C)C(C)C)C3=CC4=C(C=C31)SC5=C4B(C6=CC=CC=C6)NC7=C5C=C8C(C(SC9=C%10C=C%11C(C(C#C[Si](C(C)C)(C(C)C)C(C)C)=C(C=CC=C%12)C%12=C%11C#C[Si](C(C)C)(C(C)C)C(C)C)=C9)=C%10B(C%13=CC=CC=C%13)N8)=C7)(C(C)C)C(C)C)C
88,88,CC(C)C(C=CC=C1C(C)C)=C1N2C(C3=CC=CC=C3)=C(C4=CC=CC=C4)N(C5=C(C(C)C)C=CC=C5C(C)C)B2C6=CC=CC=C6
89,89,CC(C)C(C=CC=C1C(C)C)=C1N2C(C3=C(C)C=CC=C3C)=C(C4=C(C)C=CC=C4C)N(C5=C(C(C)C)C=CC=C5C(C)C)B2C6=CC=CC=C6
90,90,CC(C)C(C=CC=C1C(C)C)=C1N2C(C3=CC=C(C(F)(F)F)C=C3)=C(C4=CC=C(C(F)(F)F)C=C4)N(C5=C(C(C)C)C=CC=C5C(C)C)B2C6=CC=CC=C6
91,91,CC(C=C(C)C=C1C)=C1N2C(C3=CC=CC=C3)=C(C4=CC=CC=C4)N(C5=C(C)C=C(C)C=C5C)B2C6=CC=CC=C6
92,92,C1(C2=CC=CC=C2)=C(C3=CC=CC=C3)N(C4=CC=CC=C4)B(C5=CC=CC=C5)N1C6=CC=CC=C6
93,93,CC(C)C(C=CC=C1C(C)C)=C1N2C(C3=CC=CC=C3)=C(C4=CC=CC=C4)N(C5=C(C(C)C)C=CC=C5C(C)C)B2C6=C(C)C=C(C)C=C6C
94,94,CC(C)C(C=CC=C1C(C)C)=C1N2C(C3=CC=C(C(F)(F)F)C=C3)=C(C4=CC=C(C(F)(F)F)C=C4)N(C5=C(C(C)C)C=CC=C5C(C)C)B2C6=CC=C(B7N(C8=C(C(C)C)C=CC=C8C(C)C)C(C9=CC=C(C(F)(F)F)C=C9)=C(C%10=CC=C(C(F)(F)F)C=C%10)N7C%11=C(C(C)C)C=CC=C%11C(C)C)C=C6
95,95,CC(C)C(C=CC=C1C(C)C)=C1N2C=CN(C3=C(C(C)C)C=CC=C3C(C)C)B2C4=CC=CC=C4
96,96,C12=CC=CC(C3=C4N5C=CC4=CC=C3)=C1B5N6C7=C2C=CC=C7C=C6
97,97,CC(C)(C)C1=CC2=C(C=C1)N3B4C5=C(C6=C7N4C8=C(C=C(C(C)(C)C)C=C8)C7=CC(C(C)(C)C)=C6)C=CC=C5C9=C3C2=CC(C(C)(C)C)=C9
98,98,CC(C)(C)C1=CC(C(C=CC=C2S3)=C2N4C5=C3C=CC=C5)=C(B4N6C7=C8C=CC=C7SC9=C6C=CC=C9)C8=C1
99,99,C12=C3C=C4C(C(C5=CC=CN56)=CC=C4)=C1B6N7C(C2=CC=C3)=CC=C7
100,100,CCCC1=CC2=C(C=C1)N(C3=C2)B4C5=C(C(C6=CC(C=C(CCC)C=C7)=C7N64)=CC=C8)C8=CC9=C5C3=CC=C9
101,101,CC(C)(C)C1=CC2=C(C3=C1)N4B5C6=C(C7=C8N5C9=C(C=C(C(C)(C)C)C=C93)C8=CC(C(C)(C)C)=C7)C=CC=C6C%10=C4C2=CC(C(C)(C)C)=C%10
102,102,N12C3=C4C=CC5=C3N6C1=C(C(C=CC=C7)=C7B2C8=C4C=CC=C8)C9=C(C=CC=C9)B6C%10=C5C=CC=C%10
103,103,CC1=CB(C2=CC=CC=C2)N3C4=C(C(C)=CB3C5=CC=CC=C5)C=CC=C41
104,104,CC1=CB(C2=CC=CC=C2)N3C4=C(C(C)=CB3C5=CC=C(F)C=C5)C=CC=C41
105,105,CC1=CB(C2=CC=CC=C2)N3C4=C(C(C)=CB3C5=CC=C(C)C=C5)C=CC=C41
